"","date","mktRF","size","BM"
"2","19900104","2.2920","-0.9291","2.2550"
"3","19900105","0.3098","1.5695","1.2134"
"4","19900106","0.3948","0.0747","-1.4817"
"5","19900108","0.1982","0.1927","0.5353"
"6","19900109","-1.6782","-2.3885","-1.9771"
"7","19900110","0.6282","-0.2994","0.4587"
"8","19900111","2.5213","-0.8667","-0.2732"
"9","19900112","4.4143","-0.4810","-1.1869"
"10","19900113","-0.2471","0.4323","-0.0453"
"11","19900115","3.2316","-1.2173","-1.5184"
"12","19900116","0.7392","-1.8244","1.9619"
"13","19900117","-1.0001","0.8395","-1.4288"
"14","19900118","2.9171","-1.9397","-2.1844"
"15","19900119","2.8202","-2.5990","-0.4337"
"16","19900122","3.2403","-1.1091","1.7435"
"17","19900123","1.4983","-3.6855","-0.4454"
"18","19900131","0.7910","-1.1835","-0.6877"
"19","19900201","0.4239","0.5583","1.4789"
"20","19900202","1.3942","-1.0890","1.0255"
"21","19900203","-3.2539","3.1013","-1.8834"
"22","19900205","3.4219","0.4005","-0.0671"
"23","19900206","-0.2742","2.1171","1.0007"
"24","19900207","-1.2662","1.6245","-0.7094"
"25","19900208","-1.0375","-0.3796","0.6664"
"26","19900209","2.9937","1.1242","1.6767"
"27","19900210","0.7355","0.4724","1.8504"
"28","19900212","-0.6824","2.1498","1.6598"
"29","19900213","-2.4128","-0.2229","-0.5092"
"30","19900214","0.8386","-1.4430","-0.0257"
"31","19900215","-1.8561","1.2795","1.1845"
"32","19900216","-3.1621","0.1667","0.1109"
"33","19900217","1.2788","0.0216","0.2802"
"34","19900219","-0.1537","0.5147","0.9424"
"35","19900220","3.9657","-0.6616","0.1078"
"36","19900221","-2.3871","-0.1252","2.5574"
"37","19900222","-1.6212","-0.1428","-0.3887"
"38","19900223","0.4875","0.8270","0.5587"
"39","19900224","-1.3708","0.8838","-1.3882"
"40","19900226","-4.9647","-0.1792","-0.6842"
"41","19900227","3.0003","0.0497","0.5812"
"42","19900228","2.0997","0.5423","-0.1262"
"43","19900301","-2.2862","0.9016","-0.5886"
"44","19900302","0.0197","-0.1980","-0.2263"
